irp_barcode,from_farm_id,sample_crop,sample_treatment,sample_seed_variety
IA20202.0,50,WHEAT,Control,Sylvester Zenda ~𝘈HRWW
IA20202.1,112,WHEAT,16930 WD,Sylvester Zenda ~𝘈HRWW
IA20202.2,112,WHEAT,525 WD,Sylvester Zenda ~𝘈HRWW
IA20202.3,112,WHEAT,17761 FP,Sylvester Zenda ~𝘈HRWW
IA20202.4,112,WHEAT,175 FP,Sylvester Zenda ~𝘈HRWW
IN20301.0,56,WHEAT,Control,Yerks Seed SRWW
IN20301.1,56,WHEAT,525 WD,Yerks Seed SRWW
IN20301.2,56,WHEAT,15890 FP,Yerks Seed SRWW
IN20301.3,56,WHEAT,22706 FP,Yerks Seed SRWW
IN20301.4,56,WHEAT,260 WD,Yerks Seed SRWW
IN20302.0,54,WHEAT,Control,Yerks Seed SRWW
IN20302.1,54,WHEAT,525 WD,Yerks Seed SRWW
IN20302.2,54,WHEAT,15890 FP,Yerks Seed SRWW
IN20302.3,54,WHEAT,22706 FP,Yerks Seed SRWW
IN20302.4,54,WHEAT,260 WD,Yerks Seed SRWW
IN20303.0,54,WHEAT,Control,Yerks Seed SRWW
IN20303.1,54,WHEAT,28 FP,Yerks Seed SRWW
IN20303.2,54,WHEAT,NULL,Yerks Seed SRWW
IN20303.3,54,WHEAT,NULL,Yerks Seed SRWW
IN20303.4,54,WHEAT,NULL,Yerks Seed SRWW
IN20304.0,53,WHEAT,Control,Yerks Seed SRWW
IN20304.1,53,WHEAT,525 WD,Yerks Seed SRWW
IN20304.2,53,WHEAT,15890 FP,Yerks Seed SRWW
IN20304.3,53,WHEAT,22706 FP,Yerks Seed SRWW
IN20304.4,53,WHEAT,260 WD,Yerks Seed SRWW
IN20305.0,53,WHEAT,Control,Yerks Seed SRWW
IN20305.1,53,WHEAT,28 FP,Yerks Seed SRWW
IN20305.2,53,WHEAT,NULL,Yerks Seed SRWW
IN20305.3,53,WHEAT,NULL,Yerks Seed SRWW
IN20305.4,53,WHEAT,NULL,Yerks Seed SRWW
IN20306.0,Unknown at this time 25R40,WHEAT,Control,Yerks Seed SRWW
IN20306.1,Unknown at this time 25R40,WHEAT,525 WD,Yerks Seed SRWW
IN20306.2,Unknown at this time 25R40,WHEAT,15890 FP,Yerks Seed SRWW
IN20306.3,Unknown at this time 25R40,WHEAT,22706 FP,Yerks Seed SRWW
IN20306.4,Unknown at this time 25R40,WHEAT,260 WD,Yerks Seed SRWW
IN20307.0,55,WHEAT,Control,Yerks Seed SRWW
IN20307.1,55,WHEAT,525 WD,Yerks Seed SRWW
IN20307.2,55,WHEAT,15890 FP,Yerks Seed SRWW
IN20307.3,55,WHEAT,22706 FP,Yerks Seed SRWW
IN20307.4,55,WHEAT,260 WD,Yerks Seed SRWW
KS20001.0,farm8,WHEAT,Control,Sylvester Mint HRWW
KS20001.2,farm8,WHEAT,525WD,Sylvester Mint HRWW
KS20001.3,farm8,WHEAT,17761FP,Sylvester Mint HRWW
KS20001.4,farm8,WHEAT,175FP,Sylvester Mint HRWW
KS20002.0,36,WHEAT,Control,Sylvester Mint HRWW
KS20002.1,36,WHEAT,1272 FP,Sylvester Mint HRWW
KS20002.2,36,WHEAT,22706 FP,Sylvester Mint HRWW
KS20002.3,36,WHEAT,17761 FP,Sylvester Mint HRWW
KS20002.4,36,WHEAT,175 FP,Sylvester Mint HRWW
KS20003.0,38,WHEAT,Control,Sylvester Doublestop CL+ HRWW
KS20003.1,40,WHEAT,1272 FP,Sylvester Doublestop CL+ HRWW
KS20003.2,40,WHEAT,22706 FP,Sylvester Doublestop CL+ HRWW
KS20003.3,40,WHEAT,17761 FP,Sylvester Doublestop CL+ HRWW
KS20003.3,100,WHEAT,17761 FP,Sylvester Doublestop CL+ HRWW
KS20003.4,40,WHEAT,175 FP,Sylvester Doublestop CL+ HRWW
KS20004.0,Farm4,WHEAT,Control,Sylvester Wolverine HRWW
KS20004.1,Farm4,WHEAT,1272FP,Sylvester Wolverine HRWW
KS20004.2,Farm4,WHEAT,22706FP,Sylvester Wolverine HRWW
KS20004.3,Farm4,WHEAT,17761FP,Sylvester Wolverine HRWW
KS20004.4,Farm4,WHEAT,175 FP,Sylvester Wolverine HRWW
KS20005.0,farm5,WHEAT,Control,Sylvester Revere HRWWć
KS20005.1,farm5,WHEAT,16930WD,Sylvester Revere HRWWć
KS20005.2,farm5,WHEAT,525WD,Sylvester Revere HRWWć
KS20005.3,farm5,WHEAT,17761FP,Sylvester Revere HRWWć
KS20005.4,farm5,WHEAT,175FP,Sylvester Revere HRWWć
KS20006.0,farm7,WHEAT,Control,Sylvester Langin HRWW
KS20006.1,farm7,WHEAT,1272FP,Sylvester Langin HRWW
KS20006.1,farm7,WHEAT,1272 FP,Sylvester Langin HRWW
KS20006.2,farm7,WHEAT,22706FP,Sylvester Langin HRWW
KS20006.2,farm7,WHEAT,22706 FP,Sylvester Langin HRWW
KS20006.3,farm7,WHEAT,17761FP,Sylvester Langin HRWW
KS20006.3,farm7,WHEAT,17761 FP,Sylvester Langin HRWW
KS20006.4,farm7,WHEAT,175FP,Sylvester Langin HRWW
KS20006.4,farm7,WHEAT,175 FP,Sylvester Langin HRWW
KS20007.0,Farm3,WHEAT,Control,Sylvester PhotonAX HRWW
KS20007.1,Farm3,WHEAT,16930WD,Sylvester PhotonAX HRWW
KS20007.2,Farm3,WHEAT,525WD,Sylvester PhotonAX HRWW
KS20007.3,Farm3,WHEAT,17761FP,Sylvester PhotonAX HRWW
KS20007.4,Farm3,WHEAT,175 FP,Sylvester PhotonAX HRWW
KS20008.0,SE 1 - 5,WHEAT,Control,Sylvester Monument HRWW
KS20008.0,SE 1-5-30,WHEAT,Control,Sylvester Monument HRWW
KS20008.1,SE 1 - 6,WHEAT,1272 FP,Sylvester Monument HRWW
KS20008.1,SE 1-5-30,WHEAT,1272 FP,Sylvester Monument HRWW
KS20008.2,SE 1 - 7,WHEAT,22706 FP,Sylvester Monument HRWW
KS20008.3,SE 1 - 8,WHEAT,17761 FP,Sylvester Monument HRWW
KS20008.4,SE 1-5-30,WHEAT,175 FP,Sylvester Monument HRWW
KS20011.1,13,WHEAT,16930WD,Sylvester Bob Dole HRWW
KS20011.1,107,WHEAT,16930WD,Sylvester Bob Dole HRWW
KS20011.2,13,WHEAT,525 WD,Sylvester Bob Dole HRWW
KS20012.0,133,WHEAT,Control,Sylvester Bob Dole HRWW
KS20012.1,133,WHEAT,1272 FP,Sylvester Bob Dole HRWW
KS20012.2,133,WHEAT,22706 FP,Sylvester Bob Dole HRWW
KS20012.3,133,WHEAT,17761 FP,Sylvester Bob Dole HRWW
KS20012.4,34,WHEAT,175 FP,Sylvester Bob Dole HRWW
KS20013.1,Farm1,WHEAT,16930WD,Sylvester Monument HRWW
KS20013.2,Farm1,WHEAT,525WD,Sylvester Monument HRWW
KS20013.3,Farm1,WHEAT,17761FP,Sylvester Monument HRWW
KS20013.3,Farm1,WHEAT,17761 FP,Sylvester Monument HRWW
KS20013.4,Farm1,WHEAT,175FP,Sylvester Monument HRWW
KS20014.3,N and S Corners,WHEAT,17761 FP,Sylvester Monument HRWW
KS20014.4,N and S Corners,WHEAT,175 FP,Sylvester Monument HRWW
KS20015.0,2,WHEAT,Control,Sylvester Monument HRWW
KS20015.1,2,WHEAT,16930 WD,Sylvester Monument HRWW
KS20015.3,2,WHEAT,17761 FP,Sylvester Monument HRWW
KS20015.4,2,WHEAT,175 FP,Sylvester Monument HRWW
KS20016.1,108,WHEAT,1272 FP,Sylvester Monument HRWW
KS20016.2,304,WHEAT,22706 FP,Sylvester Monument HRWW
KS20016.3,108,WHEAT,17761 FP,Sylvester Monument HRWW
KS20016.4,304,WHEAT,175 FP,Sylvester Monument HRWW
KS20017.1,305,WHEAT,1272 FP,Sylvester Monument HRWW
KS20017.2,109,WHEAT,22706 FP,Sylvester Monument HRWW
KS20017.3,109,WHEAT,17761 FP,Sylvester Monument HRWW
KS20017.4,305,WHEAT,175 FP,Sylvester Monument HRWW
KS20018.0,51,WHEAT,Control,Sylvester Blend HRWW
KS20018.1,51,WHEAT,16930 WD,Sylvester Blend HRWW
KS20018.2,51,WHEAT,525 WD,Sylvester Blend HRWW
KS20018.3,51,WHEAT,17761FP,Sylvester Blend HRWW
KS20018.4,51,WHEAT,175 FP,Sylvester Blend HRWW
KS20020.0,10,WHEAT,Control,Sylvester Blend HRWW
KS20020.1,10,WHEAT,16930 WD,Sylvester Blend HRWW
KS20020.2,10,WHEAT,525 WD,Sylvester Blend HRWW
KS20020.3,10,WHEAT,17761 FP,Sylvester Blend HRWW
KS20020.4,10,WHEAT,175 FP,Sylvester Blend HRWW
KS20021.1,240,WHEAT,1272FP,Sylvester Blend HRWW
KS20021.2,240,WHEAT,22706FP,Sylvester Blend HRWW
KS20022.1,35,WHEAT,16930 WD,Sylvester Mint HRWW
KS20022.2,35,WHEAT,525 WD,Sylvester Mint HRWW
KS20023.0,36,WHEAT,Control,Sylvester Monument HRWW
KS20023.1,36,WHEAT,16930 WD,Sylvester Monument HRWW
KS20023.2,36,WHEAT,525 WD,Sylvester Monument HRWW
KS20023.3,36,WHEAT,17761 FP,Sylvester Monument HRWW
KS20023.4,27,WHEAT,175 FP,Sylvester Monument HRWW
KS20025.0,52,WHEAT,Control,Sylvester Mint HRWW
KS20025.1,52,WHEAT,1272 FP,Sylvester Mint HRWW
KS20025.2,52,WHEAT,22706 FP,Sylvester Mint HRWW
KS20025.3,52,WHEAT,17761 FP,Sylvester Mint HRWW
KS20025.4,52,WHEAT,175 FP,Sylvester Mint HRWW
KS20026.0,85,WHEAT,Control,Sylvester Monument HRWW
KS20026.1,85,WHEAT,16930 WD,Sylvester Monument HRWW
KS20026.2,85,WHEAT,525 WD,Sylvester Monument HRWW
KS20026.3,85,WHEAT,17761 FP,Sylvester Monument HRWW
KS20026.4,85,WHEAT,175 FP,Sylvester Monument HRWW
KS20029.0,1111,WHEAT,Control,Sylvester Monument HRWW
KS20029.1,1111,WHEAT,16930 WD,Sylvester Monument HRWW
KS20029.2,1111,WHEAT,525 WD,Sylvester Monument HRWW
KS20029.3,1111,WHEAT,17761 FP,Sylvester Monument HRWW
KS20029.4,1111,WHEAT,175 FP,Sylvester Monument HRWW
KS20031.0,84,WHEAT,Control,Sylvester Link HRWW
KS20031.1,84,WHEAT,16930 WD,Sylvester Link HRWW
KS20031.2,84,WHEAT,525 WD,Sylvester Link HRWW
KS20031.3,84,WHEAT,17761 FP,Sylvester Link HRWW
KS20031.4,84,WHEAT,175 FP,Sylvester Link HRWW
KS20034.1,39,WHEAT,16930WD,Sylvester Doublestop CL+ HRWW
KS20034.2,39,WHEAT,525 WD,Sylvester Doublestop CL+ HRWW
MS20502.0,75,WHEAT,Control,Yerks Seed SRWW
MS20502.1,75,WHEAT,525 WD,Yerks Seed SRWW
MS20502.2,75,WHEAT,260 WD,Yerks Seed SRWW
MS20502.3,75,WHEAT,22706 FP,Yerks Seed SRWW
MS20502.4,75,WHEAT,15890 FP,Yerks Seed SRWW
MS20503.0,West of School House,WHEAT,Control,Yerks Seed SRWW
MS20503.1,West of School House,WHEAT,NULL,Yerks Seed SRWW
MS20503.2,West of School House,WHEAT,NULL,Yerks Seed SRWW
MS20503.3,West of School House,WHEAT,NULL,Yerks Seed SRWW
MS20503.4,West of School House,WHEAT,NULL,Yerks Seed SRWW
MS20504.0,Barn Cut,WHEAT,Control,Yerks Seed SRWW
MS20504.1,Barn Cut,WHEAT,22706 FP,Yerks Seed SRWW
MS20504.2,Barn Cut,WHEAT,260 WD,Yerks Seed SRWW
MS20504.3,Barn Cut,WHEAT,15890 FP,Yerks Seed SRWW
MS20504.4,Barn Cut,WHEAT,525 WD,Yerks Seed SRWW
OH20305.1,farm70,WHEAT,525 WD,Yerks Seed SRWW
OH20401.0,57,WHEAT,Control,Yerks Seed SRWW
OH20401.1,57,WHEAT,525 WD,Yerks Seed SRWW
OH20401.2,57,WHEAT,260 WD,Yerks Seed SRWW
OH20401.3,57,WHEAT,22706 FP,Yerks Seed SRWW
OH20401.4,57,WHEAT,15890 FP,Yerks Seed SRWW
OH20402.1,58,WHEAT,525 WD,Yerks Seed SRWW
OH20402.2,58,WHEAT,260 WD,Yerks Seed SRWW
OH20402.3,58,WHEAT,22706 FP,Yerks Seed SRWW
OH20402.4,58,WHEAT,15890 FP,Yerks Seed SRWW
OH20403.0,farm60,WHEAT,Control,Yerks Seed SRWW
OH20403.1,farm60,WHEAT,28 FP,Yerks Seed SRWW
OH20403.2,farm60,WHEAT,NULL,Yerks Seed SRWW
OH20403.3,farm60,WHEAT,NULL,Yerks Seed SRWW
OH20403.4,farm60,WHEAT,NULL,Yerks Seed SRWW
OH20404.1,farm60,WHEAT,28 FP,Yerks Seed SRWW
OH20404.2,farm61,WHEAT,NULL,Yerks Seed SRWW
OH20404.3,farm61,WHEAT,NULL,Yerks Seed SRWW
OH20404.4,farm61,WHEAT,NULL,Yerks Seed SRWW
OH20405.0,farm70,WHEAT,Control,Yerks Seed SRWW
OH20405.1,farm70,WHEAT,525 WD,Yerks Seed SRWW
OH20405.2,farm70,WHEAT,260 WD,Yerks Seed SRWW
OH20405.3,farm70,WHEAT,22706 FP,Yerks Seed SRWW
OH20405.4,farm70,WHEAT,15890 FP,Yerks Seed SRWW
OH20406.0,farm71,WHEAT,Control,Yerks Seed SRWW
OH20406.1,farm71,WHEAT,525 WD,Yerks Seed SRWW
OH20406.2,farm71,WHEAT,260 WD,Yerks Seed SRWW
OH20406.3,farm71,WHEAT,22706 FP,Yerks Seed SRWW
OH20406.4,farm71,WHEAT,15890 FP,Yerks Seed SRWW
OH20407.0,72,WHEAT,Control,Yerks Seed SRWW
OH20407.1,72,WHEAT,NULL,Yerks Seed SRWW
OH20407.2,72,WHEAT,NULL,Yerks Seed SRWW
OH20407.3,72,WHEAT,NULL,Yerks Seed SRWW
OH20407.4,72,WHEAT,NULL,Yerks Seed SRWW
OH20407.5,72,WHEAT,28 FP,Yerks Seed SRWW
OH20408.0,farm62,WHEAT,Control,Yerks Seed SRWW
OH20408.1,farm62,WHEAT,NULL,Yerks Seed SRWW
OH20408.2,farm62,WHEAT,NULL,Yerks Seed SRWW
OH20408.3,farm62,WHEAT,NULL,Yerks Seed SRWW
OH20408.4,farm62,WHEAT,NULL,Yerks Seed SRWW
OK20101.0,Half 2 N 1/4,WHEAT,Control,Sylvester Doublestop CL+ HRWW
OK20101.1,Half 2 N 1/4,WHEAT,1272 FP,Sylvester Doublestop CL+ HRWW
OK20101.2,Half 2 N 1/4,WHEAT,525WD,Sylvester Doublestop CL+ HRWW
OK20101.3,Half 2 N 1/4,WHEAT,16930WD,Sylvester Doublestop CL+ HRWW
OK20101.4,Half 2 N 1/4,WHEAT,175WD,Sylvester Doublestop CL+ HRWW
OK20105.1,farm6,WHEAT,16930WD,Sylvester Doublestop CL+ HRWW
OK20105.2,farm6,WHEAT,525 WD,Sylvester Doublestop CL+ HRWW
OK20105.3,farm6,WHEAT,1272FP,Sylvester Doublestop CL+ HRWW
OK20105.4,farm6,WHEAT,175 WD,Sylvester Doublestop CL+ HRWW
OK20109.0,74,WHEAT,Control,Sylvester Bob Dole HRWW
OK20109.1,74,WHEAT,16930 WD,Sylvester Bob Dole HRWW
OK20109.2,74,WHEAT,525 WD,Sylvester Bob Dole HRWW
OK20109.3,74,WHEAT,1272 FP,Sylvester Bob Dole HRWW
OK20109.4,74,WHEAT,175 FP,Sylvester Bob Dole HRWW
OK20110.0,73,WHEAT,Control,Sylvester Monument HRWW
OK20110.1,73,WHEAT,1272 FP,Sylvester Monument HRWW
OK20110.2,73,WHEAT,525 WD,Sylvester Monument HRWW
OK20110.3,73,WHEAT,16930 WD,Sylvester Monument HRWW
OK20110.4,73,WHEAT,175 FP,Sylvester Monument HRWW
OK20111.0,81,WHEAT,Control,Sylvester Tam114 HRWW
OK20111.1,81,WHEAT,1272 FP,Sylvester Tam114 HRWW
OK20111.2,81,WHEAT,22706 FP,Sylvester Tam114 HRWW
OK20111.3,81,WHEAT,17761 FP,Sylvester Tam114 HRWW
OK20111.4,81,WHEAT,175 FP,Sylvester Tam114 HRWW
OK20112.1,82,WHEAT,16930 WD,Sylvester Tam114 HRWW
OK20112.2,82,WHEAT,525 WD,Sylvester Tam114 HRWW
OK20115.0,church,WHEAT,Control,Sylvester Tam111 HRWW
OK20115.1,church,WHEAT,1272 FP,Sylvester Tam111 HRWW
OK20115.2,church,WHEAT,22706 FP,Sylvester Tam111 HRWW
OK20115.3,church,WHEAT,17761 FP,Sylvester Tam111 HRWW
OK20115.4,church,WHEAT,175 FP,Sylvester Tam111 HRWW
OK20116.1,foster,WHEAT,16930 WD,Sylvester Tam111 HRWW
OK20116.2,foster,WHEAT,525 WD,Sylvester Tam111 HRWW
OK20118.0,86,WHEAT,Control,Sylvester SmithGold HRWW
OK20118.1,86,WHEAT,1272 FP,Sylvester SmithGold HRWW
OK20118.2,86,WHEAT,22706 FP,Sylvester SmithGold HRWW
OK20118.3,86,WHEAT,17761 FP,Sylvester SmithGold HRWW
OK20118.4,86,WHEAT,175 FP,Sylvester SmithGold HRWW
OK20120.1,james,WHEAT,16930 WD,Sylvester SmithGold HRWW
OK20120.2,james,WHEAT,525 WD,Sylvester SmithGold HRWW
OK20121.1,80,WHEAT,16930 WD,Sylvester Tam114 HRWW
OK20121.2,80,WHEAT,525 WD,Sylvester Tam114 HRWW
OK20121.3,80,WHEAT,17761 FP,Sylvester Tam114 HRWW
OK20121.4,80,WHEAT,175 FP,Sylvester Tam114 HRWW
OK20122.0,Barn,WHEAT,Control,Sylvester Tam114 HRWW
OK20122.1,Barn,WHEAT,16930 WD,Sylvester Tam114 HRWW
KS20003.0,100,WHEAT,Control,Sylvester Doublestop CL+ HRWW
KS20003.1,100,WHEAT,1272 FP,Sylvester Doublestop CL+ HRWW
KS20003.2,100,WHEAT,22706 FP,Sylvester Doublestop CL+ HRWW
KS20003.4,100,WHEAT,175 FP,Sylvester Doublestop CL+ HRWW
KS20018.0,104,WHEAT,Control,Sylvester Blend HRWW
KS20018.1,104,WHEAT,16930 WD,Sylvester Blend HRWW
KS20018.3,104,WHEAT,17761FP,Sylvester Blend HRWW
KS20018.4,104,WHEAT,175 FP,Sylvester Blend HRWW
KS20023.0,105,WHEAT,Control,Sylvester Monument HRWW
KS20023.1,105,WHEAT,16930 WD,Sylvester Monument HRWW
KS20023.2,105,WHEAT,525 WD,Sylvester Monument HRWW
MS20501.0,103,WHEAT,Control,Yerks Seed SRWW
MS20501.1,103,WHEAT,28FP,Yerks Seed SRWW
MS20501.2,103,WHEAT,NULL,Yerks Seed SRWW
MS20501.3,103,WHEAT,NULL,Yerks Seed SRWW
MS20501.4,103,WHEAT,NULL,Yerks Seed SRWW
MS20504.2,Barn Cut,WHEAT,260WD,Yerks Seed SRWW
MS20504.3,Barn Cut,WHEAT,15890,Yerks Seed SRWW
